γ,n,cFrac,gappingPolicy,τσParam,reward,seed
0.4,4,0.9,false,1.61,0.42317137,1
0.4,4,0.95,true,0.4,0.4155873,1
0.4,4,0.95,false,1.65,0.4135076,1
0.4,5,0.05,true,0.02,0.83970195,1
0.4,5,0.05,false,0.15,0.86014426,1
0.4,5,0.1,true,0.03,0.79576015,1
0.4,5,0.1,false,0.21,0.8203189,1
0.4,5,0.15,true,0.04,0.7596019,1
0.4,5,0.15,false,0.26,0.7853101,1
0.4,5,0.2,true,0.05,0.7265643,1
0.4,5,0.2,false,0.28,0.75291234,1
0.4,5,0.25,true,0.07,0.6961848,1
0.4,5,0.25,false,0.33,0.72209275,1
0.4,5,0.3,true,0.08,0.66863143,1
0.4,5,0.3,false,0.4,0.6927055,1
0.4,5,0.35,true,0.08,0.6424706,1
0.4,5,0.35,false,0.4,0.6647639,1
0.4,5,0.4,true,0.09,0.616801,1
0.4,5,0.4,false,0.51,0.6380764,1
0.4,5,0.45,true,0.1,0.5929364,1
0.4,5,0.45,false,0.57,0.61303824,1
0.4,5,0.5,true,0.12,0.5708219,1
0.4,5,0.5,false,0.57,0.5887678,1
0.4,5,0.55,true,0.13,0.5488708,1
0.4,5,0.55,false,0.57,0.5644975,1
0.4,5,0.6,true,0.13,0.527646,1
0.4,5,0.6,false,0.7,0.5422098,1
0.4,5,0.65,true,0.15,0.507338,1
0.4,5,0.65,false,0.72,0.5202168,1
0.4,5,0.7,true,0.15,0.48738998,1
0.4,5,0.7,false,0.83,0.49887836,1
0.4,5,0.75,true,0.16,0.46751463,1
0.4,5,0.75,false,0.84,0.4782501,1
0.4,5,0.8,true,0.3,0.45245492,1
0.4,5,0.8,false,0.84,0.4577517,1
0.4,5,0.85,true,0.35,0.43828598,1
0.4,5,0.85,false,1.32,0.43960676,1
0.4,5,0.9,true,0.35,0.42532519,1
0.4,5,0.9,false,1.51,0.42409313,1
0.4,5,0.95,true,0.71,0.41310897,1
0.4,5,0.95,false,1.51,0.40920594,1
0.4,6,0.05,true,0.02,0.8763404,1
0.4,6,0.05,false,0.13,0.89518154,1
0.4,6,0.1,true,0.03,0.83351207,1
0.4,6,0.1,false,0.2,0.8550502,1
0.4,6,0.15,true,0.03,0.7979377,1
0.4,6,0.15,false,0.22,0.8187567,1
0.4,6,0.2,true,0.04,0.7632768,1
0.4,6,0.2,false,0.31,0.7845368,1
0.4,6,0.25,true,0.04,0.73147523,1
0.4,6,0.25,false,0.33,0.7530293,1
0.4,6,0.3,true,0.05,0.70198125,1
0.4,6,0.3,false,0.33,0.7215717,1
0.4,6,0.35,true,0.06,0.6738223,1
0.4,6,0.35,false,0.46,0.69344485,1
0.4,6,0.4,true,0.06,0.6464895,1
0.4,6,0.4,false,0.46,0.66509444,1
0.4,6,0.45,true,0.08,0.6207107,1
0.4,6,0.45,false,0.49,0.636901,1
0.4,6,0.5,true,0.08,0.5960851,1
0.4,6,0.5,false,0.55,0.60995245,1
0.4,6,0.55,true,0.09,0.5714672,1
0.4,6,0.55,false,0.66,0.58392245,1
0.4,6,0.6,true,0.11,0.548649,1
0.4,6,0.6,false,0.66,0.55869204,1
0.4,6,0.65,true,0.11,0.5267162,1
0.4,6,0.65,false,0.77,0.53468966,1
0.4,6,0.7,true,0.16,0.506025,1
0.4,6,0.7,false,0.77,0.51082724,1
0.4,6,0.75,true,0.16,0.4871802,1
0.4,6,0.75,false,0.98,0.48815078,1
0.4,6,0.8,true,0.16,0.46833542,1
0.4,6,0.8,false,1.17,0.46725357,1
0.4,6,0.85,true,0.16,0.4494906,1
0.4,6,0.85,false,1.17,0.44738397,1
0.4,6,0.9,true,0.27,0.43283334,1
0.4,6,0.9,false,1.56,0.429114,1
0.4,6,0.95,true,0.27,0.41802055,1
0.4,6,0.95,false,1.9,0.4136244,1
0.4,7,0.05,true,0.01,0.90019536,1
0.4,7,0.05,false,0.14,0.9191281,1
0.4,7,0.1,true,0.02,0.8572924,1
0.4,7,0.1,false,0.18,0.8801484,1
0.4,7,0.15,true,0.02,0.81957805,1
0.4,7,0.15,false,0.28,0.84440565,1
0.4,7,0.2,true,0.03,0.78388286,1
0.4,7,0.2,false,0.29,0.81117505,1
0.4,7,0.25,true,0.03,0.75091726,1
0.4,7,0.25,false,0.31,0.77855015,1
0.4,7,0.3,true,0.04,0.7202866,1
0.4,7,0.3,false,0.31,0.74592775,1
0.4,7,0.35,true,0.04,0.6902274,1
0.4,7,0.35,false,0.44,0.71548194,1
0.4,7,0.4,true,0.04,0.66016823,1
0.4,7,0.4,false,0.52,0.6856587,1
0.4,7,0.45,true,0.05,0.631014,1
0.4,7,0.45,false,0.57,0.6570804,1
0.4,7,0.5,true,0.06,0.6041266,1
0.4,7,0.5,false,0.57,0.62891084,1
0.4,7,0.55,true,0.06,0.5773994,1
0.4,7,0.55,false,0.57,0.6007412,1
0.4,7,0.6,true,0.1,0.5534388,1
0.4,7,0.6,false,0.59,0.57263964,1
0.4,7,0.65,true,0.1,0.5308444,1
0.4,7,0.65,false,0.74,0.545721,1
0.4,7,0.7,true,0.1,0.50825,1
0.4,7,0.7,false,0.84,0.5202408,1
0.4,7,0.75,true,0.11,0.48578057,1
0.4,7,0.75,false,1.06,0.49670154,1
0.4,7,0.8,true,0.14,0.46496084,1
0.4,7,0.8,false,1.06,0.47355595,1
0.4,7,0.85,true,0.14,0.44497046,1
0.4,7,0.85,false,1.4,0.456812,1
0.4,7,0.9,true,0.19,0.4251252,1
0.4,7,0.9,false,1.41,0.4378971,1
0.4,7,0.95,true,0.83,0.41683123,1
0.4,7,0.95,false,1.41,0.41756347,1
0.4,8,0.05,true,0.01,0.9232452,1
0.4,8,0.05,false,0.11,0.937568,1
0.4,8,0.1,true,0.01,0.8828884,1
0.4,8,0.1,false,0.18,0.90095377,1
0.4,8,0.15,true,0.02,0.8463684,1
0.4,8,0.15,false,0.24,0.8664275,1
0.4,8,0.2,true,0.02,0.81349313,1
0.4,8,0.2,false,0.24,0.8326243,1
0.4,8,0.25,true,0.02,0.78061795,1
0.4,8,0.25,false,0.29,0.79964304,1
0.4,8,0.3,true,0.03,0.75003225,1
0.4,8,0.3,false,0.32,0.7673232,1
0.4,8,0.35,true,0.03,0.72036344,1
0.4,8,0.35,false,0.43,0.7360058,1
0.4,8,0.4,true,0.04,0.692161,1
0.4,8,0.4,false,0.48,0.70569694,1
0.4,8,0.45,true,0.04,0.66457224,1
0.4,8,0.45,false,0.48,0.67571855,1
0.4,8,0.5,true,0.04,0.6369834,1
0.4,8,0.5,false,0.59,0.6465275,1
0.4,8,0.55,true,0.05,0.6100116,1
0.4,8,0.55,false,0.71,0.61866486,1
0.4,8,0.6,true,0.06,0.58450663,1
0.4,8,0.6,false,0.71,0.59122646,1
0.4,8,0.65,true,0.06,0.55949706,1
0.4,8,0.65,false,0.71,0.56378806,1
0.4,8,0.7,true,0.06,0.5344874,1
0.4,8,0.7,false,0.93,0.5386356,1
0.4,8,0.75,true,0.07,0.510404,1
0.4,8,0.75,false,0.93,0.5131436,1
0.4,8,0.8,true,0.13,0.4865468,1
0.4,8,0.8,false,0.93,0.48765162,1
0.4,8,0.85,true,0.13,0.4665772,1
0.4,8,0.85,false,1.35,0.46348485,1
0.4,8,0.9,true,0.16,0.4469035,1
0.4,8,0.9,false,1.35,0.44100484,1
0.4,8,0.95,true,0.16,0.4284283,1
0.4,8,0.95,false,1.35,0.41852486,1
0.6,3,0.05,true,0.08,0.8882072,1
0.6,3,0.05,false,0.22,0.89661765,1
0.6,3,0.1,true,0.11,0.86242074,1
0.6,3,0.1,false,0.29,0.8722755,1
